feature,value,1,2,3,4,5,6,7,8,9
attn_0_1_outputs,_,0.95367485,-0.00020292848,-0.0351183,0.5145963,-0.34813255,-0.80274796,-0.8676436,-1.3477583,-0.9547846
attn_0_1_outputs,_,1.6071445,0.77284676,-0.63961065,0.42439845,-0.81133115,0.23976046,-0.96049523,-0.9485546,-1.0251642
attn_0_1_outputs,_,2.2207205,0.48789197,-0.6764042,1.1334184,-0.5770464,-1.2510614,-0.8653522,-1.340956,-1.265447
attn_0_1_outputs,_,1.8398536,0.032676812,-0.2667819,0.24033283,-0.55974156,-0.65856206,-0.5811227,-1.465003,-0.3041709
attn_0_1_outputs,_,0.86322665,0.8745554,-0.49970165,0.3047524,-0.1572994,-0.35893267,-1.0884464,-0.6483705,-0.49557963
attn_0_1_outputs,_,1.2863728,0.46100795,0.0087909065,-0.1338807,-0.31104338,-0.9371527,-0.67083114,-0.58552456,-0.4205276
attn_0_1_outputs,_,0.72229797,0.48736462,0.8904178,0.21325387,-0.52065855,-0.5620178,-0.55394304,-1.2190971,-0.8833911
attn_0_1_outputs,_,0.84203976,0.8762999,0.118494816,0.14831671,-0.525009,-0.32339227,-0.5625748,-1.3956722,-0.90960354
attn_0_1_outputs,_,1.3340473,1.1056027,0.33444843,-0.18438871,-0.69091946,-0.7387073,-1.6140816,-0.8359517,-0.99947274
attn_0_1_outputs,_,1.306907,-0.19745763,-0.018882327,0.08134939,-0.8644872,-0.4338551,-0.47197336,-0.3842335,-1.0064405
attn_0_2_outputs,0,2.9054062,2.5010478,0.58327085,0.9393922,2.1132855,-3.4299502,-9.15074,-12.247132,-15.591396
attn_0_2_outputs,1,3.4371986,2.79923,0.92489064,1.4469148,2.5541904,-2.2091122,-7.1218367,-10.310589,-10.120099
attn_0_2_outputs,10,3.194089,2.8672192,0.57495916,1.4666108,3.042289,-2.1838694,-7.6363626,-10.435999,-13.370118
attn_0_2_outputs,11,1.8510293,1.8511331,1.5778786,1.2981495,2.43095,-2.3420792,-7.102047,-8.942277,-12.554754
attn_0_2_outputs,12,1.2848862,1.6596304,1.089975,1.297726,3.5279758,-1.4046168,-6.4432607,-8.947432,-11.935928
attn_0_2_outputs,13,2.1947517,2.5795736,1.5539387,1.8812166,3.6378279,-1.1913955,-6.5870295,-8.489571,-11.474963
attn_0_2_outputs,14,1.2964814,1.943918,0.57028276,1.1055902,4.1060185,-0.6036477,-5.4929137,-8.438819,-10.498015
attn_0_2_outputs,15,1.5015528,2.1182618,0.99937797,1.1203394,3.8624096,-0.73477507,-5.712974,-8.221597,-8.400768
attn_0_2_outputs,16,1.5018386,2.0414104,0.89189535,1.770071,4.0935535,-0.4744002,-5.4938617,-7.426568,-8.706234
attn_0_2_outputs,17,1.5148938,2.5885043,0.86300504,1.2095872,5.230126,0.57422274,-3.8396406,-6.9802074,-6.8781247
attn_0_2_outputs,18,1.5922679,2.8350995,0.613206,1.2207631,5.2561493,0.984457,-3.7751389,-6.1748257,-8.16784
attn_0_2_outputs,19,4.3816566,4.704429,2.504015,3.5031154,5.7135725,0.31964335,-4.9252443,-8.042155,-10.897207
attn_0_2_outputs,2,3.4848042,3.0743704,1.0090892,1.2556691,2.3671675,-2.2512114,-7.346079,-10.421978,-12.003543
attn_0_2_outputs,20,1.1433498,-0.06734699,0.07959296,0.39881405,-0.107599646,-0.80154246,-0.5587402,-0.9636099,-1.4403807
attn_0_2_outputs,21,0.74910635,-0.16078414,0.6072694,0.3962063,-0.24329424,-0.252779,-1.1563233,-1.3256897,-0.7201324
attn_0_2_outputs,22,1.0438906,-0.2451661,-0.11357456,1.5614499,-0.60493624,-1.1935163,-1.1989383,-0.9836021,-1.0326235
attn_0_2_outputs,23,0.8113296,-0.31705934,0.22740923,0.71280444,0.42014307,-0.5309475,-0.7334256,-0.6317541,-0.93328625
attn_0_2_outputs,24,1.1049389,0.14813766,0.67544717,0.7496656,-0.39831746,-1.0581142,-0.98305553,-0.4980053,-1.2092254
attn_0_2_outputs,25,0.80310345,1.0269505,0.7661113,0.545631,-0.5619647,-0.72117186,-1.3894801,-0.8410934,-0.53048974
attn_0_2_outputs,26,1.5451999,0.38167408,0.97721857,0.43485218,0.10059089,-0.24624288,-1.5327926,-0.63784146,-0.75280696
attn_0_2_outputs,27,0.60491097,-0.23528321,0.54424155,0.03650058,-0.16996172,-0.48790854,-0.5998073,-0.3690585,-0.8338758
attn_0_2_outputs,28,0.9180974,-0.22235018,-0.4068346,0.7797357,-0.33052057,-0.2505559,-0.82171756,-1.497713,-0.37959167
attn_0_2_outputs,29,1.2582008,0.6778975,0.42768428,-0.05049949,-0.032295085,-1.1192985,-0.45475343,-0.9767101,-0.13238306
attn_0_2_outputs,3,3.6525283,3.1727514,1.2662678,1.3019639,2.4632668,-2.1889434,-7.2033863,-9.81243,-11.865949
attn_0_2_outputs,4,3.0606925,2.8802567,0.6984377,1.0462925,2.487842,-2.6321688,-7.573202,-11.4160185,-12.4831295
attn_0_2_outputs,5,3.65468,3.1159985,0.9986489,1.3389056,2.7466052,-1.9850396,-7.027613,-9.736597,-11.4578705
attn_0_2_outputs,6,4.0486593,3.2022266,1.2437975,1.4298843,2.8317742,-1.8711766,-6.9233036,-9.224558,-10.919135
attn_0_2_outputs,7,3.3990827,2.9205537,1.0494378,1.5272233,2.760042,-2.6408846,-8.207511,-11.233215,-14.313787
attn_0_2_outputs,8,2.8728814,2.794796,0.9843931,1.5152754,2.8236144,-2.5002246,-7.9980755,-11.078879,-13.972562
attn_0_2_outputs,9,2.824964,2.573455,1.007384,1.5654764,2.92228,-2.4007273,-7.7080765,-10.888564,-14.210233
attn_0_3_outputs,0,3.2956204,3.085487,0.8213488,1.2722224,2.655825,-2.7924583,-7.4151783,-9.582211,-10.584406
attn_0_3_outputs,1,2.871169,2.5388477,0.5180688,0.8695987,2.3220713,-3.0881047,-7.7562027,-9.702196,-14.4700165
attn_0_3_outputs,10,3.1004534,2.8343585,1.1414152,1.4166313,2.7452757,-2.6282415,-7.4187565,-9.051658,-15.081403
attn_0_3_outputs,11,2.868524,2.8143284,1.0992435,1.4960985,3.0222359,-2.5191438,-7.4668646,-9.778058,-9.268515
attn_0_3_outputs,12,3.1828265,3.055854,1.1108974,1.6210312,3.3074555,-2.174044,-6.790812,-8.628403,-9.077185
attn_0_3_outputs,13,3.0313745,3.0449889,1.2328656,1.74717,3.3415978,-2.0899084,-6.899218,-8.698289,-15.827599
attn_0_3_outputs,14,3.2138681,3.124114,1.6390432,1.8292161,3.5299778,-1.8655602,-6.618379,-8.18991,-14.230132
attn_0_3_outputs,15,3.7297397,3.7870734,1.6358042,2.4344883,4.254094,-1.075408,-5.9360685,-7.095571,-9.311183
attn_0_3_outputs,16,4.2006083,4.117869,1.6649631,2.2584937,4.3077936,-1.0580463,-5.692526,-7.2669415,-14.070482
attn_0_3_outputs,17,4.4469857,4.444484,1.9839128,2.9076316,5.102729,-0.28732365,-4.590153,-6.526942,-6.99224
attn_0_3_outputs,18,4.408272,4.590361,2.7454064,3.4488578,5.860431,0.6501161,-4.0131273,-6.408871,-5.3938966
attn_0_3_outputs,19,4.9287715,4.3257027,2.3586588,2.9116817,4.575969,-0.48264498,-5.1964498,-13.211387,-5.331181
attn_0_3_outputs,2,3.1130157,2.8030207,0.8691123,1.2163781,2.657657,-2.8520474,-7.376777,-9.311563,-10.875317
attn_0_3_outputs,20,1.2102336,0.6071066,0.69166666,0.04882424,0.1522193,-0.7177909,-0.87500364,-0.5625103,-1.1310773
attn_0_3_outputs,21,1.0489515,1.1760707,-0.6578399,0.10185661,0.1988136,-0.36792123,-1.130137,-0.89767194,-1.608232
attn_0_3_outputs,22,1.4887813,0.9068207,-0.5053754,0.85010415,-0.14989504,-1.1662157,-0.87222797,-0.9945621,-1.0235864
attn_0_3_outputs,23,0.8121041,0.98081553,-0.43728888,-0.05300598,-0.22352055,-0.4007924,-1.2341875,-0.3439084,-0.8537686
attn_0_3_outputs,24,0.8345609,1.0105988,-0.00043308715,0.21120203,-0.60851735,-0.74777204,-1.122848,-1.0053364,-0.4958424
attn_0_3_outputs,25,0.7811302,1.0760238,0.59972906,0.18835731,-0.4920306,-0.55722547,-0.46467564,-0.57912135,-1.0140456
attn_0_3_outputs,26,0.47166306,0.7029404,0.270974,-0.031874906,0.024986273,-0.39416212,-1.236865,-0.6964576,-1.3864539
attn_0_3_outputs,27,1.0273219,1.0629768,0.2667073,-0.5910843,-0.43942508,-0.67163205,-0.81705564,-0.6999534,-0.9176578
attn_0_3_outputs,28,0.37246874,0.96016973,0.2884019,-0.6415827,-0.63761204,-0.94008386,-0.6863484,-0.98448324,-1.1811366
attn_0_3_outputs,29,1.1797694,1.0885584,0.35234162,-0.82295215,-0.491067,-0.8231559,-1.3820566,-0.2951403,-0.5473374
attn_0_3_outputs,3,3.1741438,2.799517,0.4432444,1.0212663,2.6013114,-2.819556,-7.630352,-9.341521,-11.09712
attn_0_3_outputs,4,3.0620842,2.8170176,0.9340247,0.9905657,2.676684,-2.7569602,-7.2703185,-9.469546,-9.585546
attn_0_3_outputs,5,3.2501209,2.9604132,0.75985515,1.3073581,2.9455914,-2.4495726,-7.285348,-8.772426,-11.4673815
attn_0_3_outputs,6,2.9309008,2.7994988,0.69728476,1.2613084,2.7473269,-2.7117999,-7.514099,-9.143576,-11.832317
attn_0_3_outputs,7,2.7300403,2.7143924,0.76075864,0.9351554,2.9118903,-2.563938,-7.1719966,-9.470899,-9.828629
attn_0_3_outputs,8,3.1906013,3.0632124,0.91065663,1.4984438,2.6598926,-2.849648,-7.7431555,-9.067923,-16.449684
attn_0_3_outputs,9,3.254659,3.017146,1.0310484,1.4343092,2.8930466,-2.4754267,-7.378123,-9.052759,-9.671637
mlp_0_0_outputs,0,-0.05160041,0.6081603,0.08245643,-0.16802154,0.24344738,-0.23772046,0.82901984,-0.86919606,-0.9283346
mlp_0_0_outputs,1,0.2830774,-0.003427145,-0.0016511963,0.18803276,0.16422991,0.03467236,-0.52844495,-0.33432093,0.0929878
mlp_0_0_outputs,10,-0.008566995,0.35778028,-0.013287959,0.50385255,0.4053984,-0.90477264,0.06822964,-0.040487066,-0.71060544
mlp_0_0_outputs,11,0.16257417,-0.06633247,0.004506868,0.27773127,-0.417183,-0.08844303,-0.06948704,-0.47512716,-0.2929945
mlp_0_0_outputs,12,0.46174482,0.28610224,0.5237923,0.4399599,0.1280339,-0.002365182,0.124051385,-0.6914014,-0.26056954
mlp_0_0_outputs,13,0.48576653,0.09755201,0.31855068,-0.3471966,0.45103475,-0.14387855,-0.0056846463,-0.4563706,-1.0815022
mlp_0_0_outputs,14,0.068246186,0.49278617,-0.2686221,0.87510484,0.35934183,-0.4317674,1.072693,-1.5687262,-0.3107814
mlp_0_0_outputs,15,3.5950434,3.1116626,0.9435939,1.3749738,3.227582,-3.193897,-10.131154,-18.727201,-23.407274
mlp_0_0_outputs,16,0.0388737,0.9433894,-0.015912518,0.5207527,0.14606315,0.05845484,-0.6425623,-1.0005693,-0.25159112
mlp_0_0_outputs,17,0.4549697,0.7506749,0.29402524,0.12283429,0.17831412,0.25303775,0.1285754,-0.8191721,-0.4185738
mlp_0_0_outputs,18,0.3936023,0.34711593,-0.20572034,-0.36276117,0.26439828,0.7989099,-1.5187559,-0.74094474,-0.8943351
mlp_0_0_outputs,19,0.24679191,0.61316824,-0.3149531,0.034279194,0.9227006,-1.1181751,0.053809997,-0.73322254,-0.44319615
mlp_0_0_outputs,2,0.08102636,0.45618126,0.20009293,-0.089425825,0.4241919,0.27596137,-0.23659232,-0.62182105,-0.4827197
mlp_0_0_outputs,20,0.127005,0.20194262,0.6351048,0.24431634,0.34922373,0.03771384,-0.681076,-0.24739283,-0.09383381
mlp_0_0_outputs,21,0.16081752,0.31064224,0.121529505,-0.09740672,0.0855593,0.33237407,-0.021456078,-0.38950908,-0.9514618
mlp_0_0_outputs,22,0.31145647,0.33388215,0.2945346,-0.37612343,-0.06910785,0.2977933,-0.03767845,-0.7489359,-0.4030786
mlp_0_0_outputs,23,0.11127176,0.072729036,0.45559844,0.036373354,0.0016242202,-0.0463425,-0.32123163,-0.39078787,-0.62705326
mlp_0_0_outputs,24,0.57111436,0.4933374,-0.22894347,0.023276737,0.2414334,-0.35812572,0.3606973,-0.27833334,-0.5799229
mlp_0_0_outputs,25,0.6130215,0.40811506,0.16070363,0.05742955,-0.0691306,0.14666066,-0.63562894,-0.31516823,-0.5983104
mlp_0_0_outputs,26,0.25838763,0.3408943,0.1522131,-0.32618085,0.20377403,-0.060304925,-0.53843534,0.011283096,-0.85888475
mlp_0_0_outputs,27,0.38330403,0.24410881,-0.09268847,0.61929196,-0.3711559,0.13516907,-0.8393108,-0.5206997,-0.35771587
mlp_0_0_outputs,28,-0.0915392,0.53953123,0.6015186,0.08722412,0.14350672,-0.032037478,-0.6342242,-0.6227085,-0.61713207
mlp_0_0_outputs,29,0.7632489,0.18252218,0.67777693,0.23933794,1.6433202,-1.0946391,-0.279575,-0.41501355,-0.10905604
mlp_0_0_outputs,3,-0.001846397,0.48614097,0.06446191,0.32963648,0.39554542,-0.019007288,-0.45224786,-0.276848,-0.010708582
mlp_0_0_outputs,4,0.22107321,0.30432957,0.37800115,0.53851056,-0.33734158,0.35529283,-1.1040001,-0.18105555,-0.89260113
mlp_0_0_outputs,5,0.2068253,0.42662808,0.768901,-0.023973262,0.17251258,-0.56290346,-0.28472722,-0.15487139,-0.5343902
mlp_0_0_outputs,6,0.49135074,0.295021,0.22811292,0.45762873,0.26134434,-0.09798868,-0.34366456,0.021370377,-0.82431746
mlp_0_0_outputs,7,0.10540623,-0.03236261,0.13265724,0.38663036,0.14223352,0.011093608,-0.13966091,0.09502137,-0.5986342
mlp_0_0_outputs,8,0.51001024,-0.030010788,0.15940085,-0.13255635,0.882088,0.23119965,0.13409035,-0.05072199,-0.9258654
mlp_0_0_outputs,9,0.115664616,0.8468066,0.56779754,-0.08701392,0.3699579,-0.35985023,0.13700518,-0.8112574,-0.41899365
mlp_0_1_outputs,0,0.3628787,0.588481,0.54643625,0.34361586,0.40496925,-0.5369066,0.2320129,-0.5229943,-0.31138822
mlp_0_1_outputs,1,0.6179313,0.5726849,0.3262586,-0.25140825,-0.13330768,-0.41259956,-0.12300297,-0.42263448,-0.6344041
mlp_0_1_outputs,10,1.2701179,0.93210804,0.19146602,0.000807593,-0.059565637,-0.5318129,-0.006590599,-0.61830497,-0.31639752
mlp_0_1_outputs,11,3.7097723,3.1913471,0.98058975,1.5149273,3.1087651,-3.023989,-10.513703,-19.900892,-23.911066
mlp_0_1_outputs,12,0.13590877,0.2726684,0.034766033,-0.0665845,-0.05019055,0.036716115,0.12473125,-0.94158715,-0.48774177
mlp_0_1_outputs,13,0.68489325,0.42326778,-0.10001287,-0.016156496,0.12737046,-0.36731103,-0.67653793,0.15424925,-0.47454938
mlp_0_1_outputs,14,0.36926392,0.14600696,0.10983036,0.25339884,-0.07719676,-1.1043007,-0.23556668,0.09950807,-0.43896088
mlp_0_1_outputs,15,0.28820905,0.5050176,0.35840446,-0.3268769,0.18941179,-0.5055833,-0.40407753,-0.92951673,-0.4060552
mlp_0_1_outputs,16,0.17010014,0.3293005,0.13535483,0.7797856,0.07786667,-0.7107283,-0.657774,-0.11860651,-0.08089724
mlp_0_1_outputs,17,0.0058960547,0.7507533,0.2868264,0.47188815,0.191353,-0.013445826,-0.5607218,0.08159623,-0.31141087
mlp_0_1_outputs,18,0.8855853,0.43615496,0.007227875,-0.20274346,-0.4155573,-0.13668111,-0.026736109,-0.09042372,-0.42683253
mlp_0_1_outputs,19,0.6248267,0.509198,0.6184172,-0.0022336487,-0.24396412,-0.20433654,-0.39788407,-0.104326166,-0.62352836
mlp_0_1_outputs,2,0.13528681,0.011920106,-0.0031200876,-0.25580767,-0.09603172,-1.0993701,-0.64934695,-0.1688496,-0.23227753
mlp_0_1_outputs,20,0.8766936,0.7501199,0.23502256,0.24737668,-0.21152759,0.16820097,-0.3803372,-0.3981533,-0.50517976
mlp_0_1_outputs,21,0.08740979,-0.11158101,0.04812183,0.46550846,-0.13833229,0.43365163,-0.21181768,-0.08281278,-0.73249114
mlp_0_1_outputs,22,0.43570322,0.38076672,-0.1923029,0.3764159,0.06444355,-0.23069148,1.135748,-1.6019669,-0.97334695
mlp_0_1_outputs,23,-0.22107592,0.8507041,-0.10159489,0.5135037,0.108559005,-0.29811966,-0.14906792,-0.76931775,-0.22580731
mlp_0_1_outputs,24,0.94309807,0.558394,-0.021926561,-0.35792437,-0.49542704,-0.5529316,-0.4760493,-0.22477503,-0.80716467
mlp_0_1_outputs,25,-7.86521e-05,0.19445291,-0.09297308,0.20089518,-0.09274347,0.4851197,-0.12985563,-0.72612786,-0.36052942
mlp_0_1_outputs,26,0.73320585,0.47668964,0.46613172,0.25657418,0.52980757,0.13259968,-0.7077182,-0.29010847,-0.042019814
mlp_0_1_outputs,27,0.16759612,-0.18405643,0.19364245,0.08681671,1.0666713,-0.5678761,-0.7880813,-0.24318624,-0.35451117
mlp_0_1_outputs,28,-0.20952699,0.24233481,0.7358861,0.36535928,0.29570222,-0.013673494,-0.5335261,-0.3751291,-0.70251304
mlp_0_1_outputs,29,1.9879004,0.3357623,0.24006778,-0.27017343,-0.95572627,-1.3111303,-1.2152096,-0.3429426,-0.6600443
mlp_0_1_outputs,3,-0.38492212,0.3791646,0.2342018,0.33449024,0.089004405,0.009865594,-0.029506126,-0.06732307,-0.2835518
mlp_0_1_outputs,4,0.2656275,-0.11965972,0.755879,0.52436125,0.26032564,-0.38299668,0.061673522,-0.33353215,-0.44693008
mlp_0_1_outputs,5,0.12339242,0.309981,0.32023704,0.4806727,0.31205362,-0.6535028,-0.09731197,-0.09715862,-0.3578226
mlp_0_1_outputs,6,-0.22105612,0.831646,0.049321204,0.2219136,-0.29410955,-0.36868724,-0.6308041,-0.3329107,-0.3184589
mlp_0_1_outputs,7,-0.14901903,0.44319782,0.37414494,0.026185399,0.5101153,-0.034553114,-0.21409488,-0.9906403,-0.807638
mlp_0_1_outputs,8,0.422164,0.46371135,0.0707626,0.4533399,-0.21296376,-0.122096434,-0.20805643,-0.5403114,-0.44265562
mlp_0_1_outputs,9,0.59624916,1.0329361,0.12156975,0.28618023,-0.078224026,-0.5336063,-0.48161426,-0.5094218,-0.7255474
num_attn_0_0_outputs,_,-7.473918,-3.0391123,0.13905326,0.18763924,-0.56631005,2.158545,3.841043,5.418558,6.6015167
num_attn_0_1_outputs,_,-7.329892,-2.9768977,-0.0030162265,0.2473511,-0.35391325,2.1663742,4.173657,5.8282123,7.0352263
num_attn_0_2_outputs,_,-7.9823594,-3.049941,-0.63863057,0.31515962,-0.18294491,2.4640052,4.991723,6.861873,7.955763
num_attn_0_3_outputs,_,-7.5123262,-3.2490158,-0.5703975,0.50755554,0.19764973,3.5060008,6.051225,7.7613025,8.348182
num_mlp_0_0_outputs,0,4.140238,-1.2681025,-2.0071263,-1.5607258,-1.8471437,-1.2841558,-1.0397707,-0.29089326,-0.45488125
num_mlp_0_0_outputs,1,0.85024726,0.8063016,-0.43223172,-0.32278806,-0.45061672,-0.49931416,-0.28699633,-1.014093,0.06535191
num_mlp_0_0_outputs,10,-1.7915795,2.1281385,9.991744,-7.0530534,-10.594796,-12.925052,-8.940065,-12.512637,-15.505424
num_mlp_0_0_outputs,11,-0.8283419,2.4104197,-0.28416315,-0.78157425,-0.7334305,-0.37833863,-0.22298838,-0.79285806,-0.823705
num_mlp_0_0_outputs,12,0.6713812,5.4920588,-2.7562475,-4.910922,-2.3055003,-1.0109078,-1.4167724,0.24506475,-0.6386399
num_mlp_0_0_outputs,13,5.5568466,-2.0471973,-1.0657533,-0.88024235,-1.0476899,-0.87928724,-0.7128488,-0.10794654,-0.6812871
num_mlp_0_0_outputs,14,-2.10855,1.8706132,5.8451695,1.0770067,-20.010492,-9.122276,-3.9183626,-3.3782406,-3.364063
num_mlp_0_0_outputs,15,14.936283,-8.784194,-8.835017,-23.313938,-19.858765,-8.531894,-0.71893543,-0.19820495,-0.17270693
num_mlp_0_0_outputs,16,3.104867,5.6531205,-5.205702,-5.232449,-1.9543378,-0.7419635,-0.5062417,-0.27760804,-0.27528608
num_mlp_0_0_outputs,17,1.857663,4.7699723,-3.2641997,-2.5805311,-1.0639166,-1.1035606,0.31383032,-0.47382686,-0.22580421
num_mlp_0_0_outputs,18,-2.1994555,3.0620453,8.028283,3.2981424,-9.422006,-34.268528,-21.994219,-18.358463,-18.489061
num_mlp_0_0_outputs,19,1.4253967,1.7238114,-0.36241987,-0.5556545,-2.0081763,-1.0171217,-0.5764239,-0.03669271,-0.6073617
num_mlp_0_0_outputs,2,-0.9551714,4.033571,-0.17956892,-2.4193587,-1.2883888,-0.73110664,-0.8732241,-0.5245844,-1.099178
